"date","on","1w","2w","1m","3m","6m","9m","1y"
"20170824","2.8479","2.904","3.7385","3.8839","4.3619","4.3896","4.394","4.4051"
"20170823","2.8453","2.9028","3.7323","3.8757","4.3571","4.3892","4.3929","4.4041"
"20170822","2.8171","2.8985","3.7279","3.8712","4.3505","4.3872","4.3924","4.4032"
"20170821","2.8482","2.897","3.7247","3.8671","4.3464","4.3847","4.3923","4.402"
"20170818","2.8355","2.894","3.7154","3.8644","4.344","4.3836","4.3912","4.401"
"20170817","2.8352","2.8927","3.708","3.8582","4.3417","4.3818","4.3899","4.4"
"20170816","2.8213","2.88","3.702","3.85","4.3363","4.3787","4.3892","4.4"
"20170815","2.798","2.874","3.7","3.848","4.3268","4.3795","4.3888","4.3999"
"20170814","2.7743","2.868","3.7","3.8512","4.3148","4.3763","4.3859","4.3981"
"20170811","2.79","2.8725","3.7","3.8627","4.2979","4.3673","4.3837","4.3985"
"20170810","2.797","2.8767","3.702","3.8691","4.2867","4.3636","4.3836","4.3985"
"20170809","2.8018","2.8821","3.702","3.8756","4.2818","4.3633","4.3823","4.398"
"20170808","2.784","2.871","3.701","3.8755","4.2735","4.3614","4.3821","4.397"
"20170807","2.736","2.865","3.699","3.8781","4.2733","4.3573","4.3821","4.398"
"20170804","2.721","2.8657","3.7","3.8828","4.2724","4.3562","4.3822","4.3979"
"20170803","2.807","2.884","3.7037","3.8884","4.2704","4.3563","4.3838","4.3982"
"20170802","2.832","2.892","3.707","3.8875","4.2681","4.3521","4.3837","4.3961"
"20170801","2.8093","2.886","3.708","3.8886","4.2631","4.3518","4.3815","4.3931"
"20170731","2.806","2.882","3.705","3.889","4.2561","4.3493","4.379","4.3881"
"20170728","2.8152","2.877","3.703","3.8915","4.2514","4.3481","4.3761","4.3892"
"20170727","2.786","2.8626","3.703","3.8994","4.25","4.3432","4.376","4.3908"
"20170726","2.725","2.849","3.6997","3.9086","4.251","4.3434","4.3759","4.3904"
"20170725","2.7147","2.849","3.698","3.9205","4.254","4.3444","4.377","4.3935"
"20170724","2.708","2.845","3.699","3.93","4.255","4.3453","4.3782","4.396"
"20170721","2.733","2.847","3.702","3.9497","4.255","4.3517","4.3804","4.3977"
"20170720","2.7534","2.853","3.705","3.9792","4.2551","4.3597","4.3812","4.3976"
"20170719","2.722","2.842","3.6973","3.992","4.26","4.3685","4.3854","4.4008"
"20170718","2.701","2.8293","3.6926","3.9989","4.2666","4.3692","4.3879","4.4034"
"20170717","2.6329","2.8057","3.6809","4.012","4.2706","4.379","4.3929","4.405"
"20170714","2.627","2.803","3.686","4.0397","4.281","4.385","4.395","4.4051"
"20170713","2.659","2.8184","3.694","4.0675","4.29","4.3879","4.3978","4.4074"
"20170712","2.646","2.8156","3.6918","4.0848","4.3088","4.3909","4.3961","4.4066"
"20170711","2.621","2.812","3.691","4.1205","4.3212","4.3995","4.398","4.4075"
"20170710","2.549","2.784","3.693","4.161","4.3421","4.4006","4.398","4.4073"
"20170707","2.533","2.7858","3.699","4.215","4.3607","4.41","4.398","4.4091"
"20170706","2.5473","2.7919","3.708","4.2762","4.3876","4.4274","4.399","4.4108"
"20170705","2.583","2.8028","3.7206","4.338","4.4285","4.4431","4.4","4.413"
"20170704","2.6897","2.8299","3.7342","4.3987","4.4606","4.4569","4.4","4.4162"
"20170703","2.72","2.841","3.745","4.4252","4.4857","4.47","4.4005","4.4193"
"20170630","2.618","2.8455","3.751","4.4608","4.5009","4.4743","4.4006","4.4203"
"20170629","2.539","2.8507","3.7595","4.4955","4.5211","4.4833","4.402","4.4193"
"20170628","2.5596","2.8577","3.762","4.5219","4.5522","4.4998","4.4086","4.4299"
"20170627","2.626","2.8834","3.765","4.548","4.5833","4.5134","4.411","4.433"
"20170626","2.717","2.9063","3.764","4.5738","4.6125","4.521","4.4154","4.4369"
"20170623","2.81","2.936","3.7634","4.589","4.63","4.5277","4.4167","4.4345"
"20170622","2.869","2.9432","3.7333","4.607","4.6521","4.5306","4.4177","4.4342"
"20170621","2.889","2.9429","3.687","4.6322","4.688","4.5349","4.4181","4.4359"
"20170620","2.8776","2.93","3.6501","4.6584","4.7141","4.5389","4.414","4.4368"
"20170619","2.8635","2.9204","3.6223","4.6979","4.747","4.543","4.4094","4.431"
"20170616","2.8528","2.914","3.5833","4.699","4.7613","4.5416","4.4064","4.4297"
"20170615","2.8317","2.9047","3.569","4.6946","4.7723","4.5353","4.4039","4.4264"
"20170614","2.825","2.9026","3.566","4.6826","4.7827","4.5326","4.3985","4.4231"
"20170613","2.832","2.9","3.557","4.6529","4.7827","4.5258","4.3949","4.4208"
"20170612","2.8302","2.8968","3.5495","4.6273","4.7763","4.5176","4.3891","4.4172"
"20170609","2.8275","2.8949","3.535","4.5854","4.7555","4.5056","4.3884","4.4116"
"20170608","2.8199","2.8939","3.526","4.5146","4.7306","4.4955","4.3836","4.406"
"20170607","2.809","2.8919","3.5119","4.4304","4.6988","4.4844","4.3758","4.3991"
"20170606","2.8419","2.8959","3.4992","4.3633","4.6577","4.4631","4.3668","4.3922"
"20170605","2.8167","2.894","3.493","4.283","4.6225","4.4542","4.3623","4.3862"
"20170602","2.7953","2.884","3.484","4.1892","4.6012","4.449","4.3529","4.3773"
"20170601","2.6525","2.866","3.4738","4.1013","4.5779","4.451","4.3487","4.37"
"20170531","2.6365","2.856","3.4711","4.0763","4.5641","4.4499","4.3443","4.3579"
"20170527","2.601","2.854","3.4664","4.0685","4.5528","4.4481","4.3414","4.3544"
"20170526","2.609","2.853","3.4644","4.0655","4.5424","4.4437","4.3346","4.3435"
"20170525","2.611","2.843","3.4576","4.0646","4.5338","4.4368","4.3251","4.3342"
"20170524","2.623","2.8426","3.4513","4.0643","4.5177","4.4262","4.3107","4.322"
"20170523","2.654","2.8571","3.4489","4.0624","4.4956","4.4215","4.2965","4.3137"
"20170522","2.6745","2.8679","3.4366","4.061","4.4744","4.4148","4.2881","4.3024"
"20170519","2.715","2.88","3.419","4.0571","4.4641","4.413","4.285","4.2925"
"20170518","2.7641","2.8867","3.4134","4.0525","4.4439","4.4043","4.2814","4.2864"
"20170517","2.7525","2.882","3.397","4.0495","4.4349","4.4021","4.2765","4.2831"
"20170516","2.746","2.8827","3.393","4.0477","4.4278","4.402","4.2727","4.2784"
"20170515","2.716","2.8833","3.389","4.0462","4.4184","4.3996","4.2679","4.2739"
"20170512","2.7911","2.9107","3.3872","4.0468","4.4088","4.3952","4.2665","4.2724"
"20170511","2.813","2.9294","3.3846","4.0507","4.4083","4.392","4.2644","4.2715"
"20170510","2.827","2.93","3.3805","4.0463","4.3933","4.3857","4.2623","4.2674"
"20170509","2.8199","2.9233","3.3752","4.0441","4.3848","4.3799","4.2557","4.2612"
"20170508","2.818","2.9091","3.3683","4.0447","4.3731","4.3744","4.251","4.2555"
"20170505","2.8348","2.9186","3.366","4.0469","4.3608","4.3664","4.2466","4.2512"
"20170504","2.8506","2.927","3.365","4.0436","4.3476","4.3602","4.2449","4.2503"
"20170503","2.8451","2.913","3.349","4.0361","4.3309","4.35","4.2412","4.2453"
"20170502","2.8175","2.873","3.317","4.027","4.3002","4.3397","4.2317","4.233"
"20170428","2.819","2.8699","3.3038","4.0237","4.2974","4.3364","4.2265","4.2296"
"20170427","2.792","2.8449","3.2935","4.0161","4.2917","4.3331","4.2244","4.2255"
"20170426","2.759","2.8203","3.2799","4.011","4.2884","4.3309","4.2232","4.2243"
"20170425","2.7514","2.814","3.268","4.01","4.2839","4.3288","4.2217","4.2228"
"20170424","2.7157","2.79","3.241","4.01","4.2789","4.3276","4.2164","4.2175"
"20170421","2.6163","2.76","3.229","4.0095","4.2781","4.3254","4.2139","4.2145"
"20170420","2.5987","2.758","3.2275","4.005","4.2725","4.3242","4.2096","4.2121"
"20170419","2.575","2.752","3.2125","4.0008","4.2661","4.3225","4.2069","4.2113"
"20170418","2.486","2.7175","3.188","3.9978","4.2621","4.3145","4.1999","4.2023"
"20170417","2.444","2.69","3.1735","3.9972","4.2609","4.3148","4.1989","4.2022"
"20170414","2.429","2.674","3.1617","3.9972","4.2634","4.3177","4.1989","4.2013"
"20170413","2.413","2.6566","3.1553","4.0016","4.2631","4.3166","4.1987","4.2022"
"20170412","2.3885","2.6631","3.1637","4.0132","4.2653","4.316","4.1968","4.2011"
"20170411","2.408","2.687","3.1897","4.0382","4.2774","4.322","4.1975","4.201"
"20170410","2.442","2.707","3.2203","4.0746","4.2906","4.332","4.1977","4.201"
"20170407","2.4957","2.741","3.249","4.118","4.301","4.339","4.197","4.2"
"20170406","2.537","2.7506","3.2754","4.1783","4.3183","4.345","4.197","4.2"
"20170405","2.4868","2.74","3.3053","4.2525","4.3355","4.347","4.197","4.2"
"20170401","2.497","2.778","3.356","4.317","4.3642","4.351","4.197","4.2"
"20170331","2.5384","2.85","3.405","4.3501","4.393","4.35","4.195","4.2"
"20170330","2.507","2.821","3.383","4.3843","4.3995","4.349","4.1942","4.2006"
"20170329","2.521","2.81","3.3544","4.3955","4.4135","4.353","4.1919","4.1952"
"20170328","2.448","2.791","3.3341","4.4105","4.423","4.356","4.1883","4.1918"
"20170327","2.482","2.7993","3.3378","4.4296","4.4364","4.3597","4.1829","4.1874"
"20170324","2.604","2.784","3.362","4.4581","4.4516","4.3663","4.1788","4.1835"
"20170323","2.657","2.807","3.365","4.4475","4.4396","4.3592","4.1772","4.1717"
"20170322","2.6507","2.791","3.3372","4.3959","4.4077","4.346","4.1713","4.1649"
"20170321","2.6477","2.768","3.307","4.3558","4.3846","4.3218","4.1621","4.1559"
"20170320","2.6325","2.7471","3.269","4.3172","4.3711","4.3091","4.1504","4.1435"
"20170317","2.633","2.725","3.236","4.2775","4.3507","4.2909","4.134","4.1246"
